book	chapter	ms	bytes	sha256
1CH	12	427944	3424907	8911d5996bfd107eb3aeafca96b625a64616f99ba7ff0e87a84b9dbac874e1d2
1CH	13	165120	1322154	56427606d1cbae90b658e8dddb4ae491ba8c4639516cc375cbca25204b344ddc
1CH	14	162576	1301883	455bce20887cf51065972a72636e8bdcfb103c710f6856c7b87e0cae8519cd67
1CH	15	336768	2695359	931afd0e87eb3d21795102c6ae03c6d724814e8ee9dbd77c8c99d56ab961d9e1
1CH	16	387168	3098690	679d77238bd5acb7a3fb9be4267ad7e932f402e7b910681b779000917f47039f
1CH	17	329568	2637890	81fcc34a772c5d1c11032fb6b4aa837020970f05928f0603b7c325c59076b2ff
1CH	18	208848	1671986	9aaa1cced064a649bbb14a5e1823733f5f0805301756e8ac6905444d87dc83e6
1CH	19	269904	2160581	187f4e4c19d0ec1fd75a387e96a4ef3b9655e1fd20d5da6c358f839120bb9f93
1CH	20	129504	1037315	d9326dd3acb6640f4f7f2d3f15ab64487ff15f495f46552ce4d9830c72860d4d
1CH	21	389568	3117916	3ac9387b52898c39e0aa8db13d63b046df6e5501b8c99f0a202deb9c5bbcb273
1CH	22	272616	2182314	cc1df7a7ecdb2e8e2d55bb45f7c3cc201d548b1e26f4adcb495bf6ff186b7ff0
1CH	23	322560	2581674	83ccb6b426ba2719606114568012fc651dca98a8fdc26ccc923c655db759abf6
1CH	24	286872	2296208	d91ffe70308c518068de8bb3e502b842d3ec1f63c52fe3d946696d654a8b5b85
1CH	25	301344	2411983	2c5ce1c52720658f81b82cac7e23077919d794d4ee201f10ee988cf5a7b4aa0e
1CH	26	372576	2981870	565e0a29008f68387a981a73e9926142783ee171c4a481a3580ce3019a424740
1CH	27	398520	3189387	594d3c2d2eb88224a3ca54810f021a818390afdddf392729bd67ce2957935a6e
1CH	28	349392	2796506	bd62e8c477882fee21aecebb07e50afbe1e512f3dfb5c1d193c516100a61445b
1CH	29	440832	3527934	0c1cbee52a46d3fa9e1a8f8cebd9002fecd7563e16a2343798f40e16396207c0
2CH	1	226008	1809283	63f6dd29f64aad781ab7a164f05983e9defa391f70178ab0d49b280ebace7f4c
2CH	2	287760	2303311	3e936e41867a65a15daab9475e1817f01425eacddf8ff2c4a8097b510788aa08
2CH	3	201504	1613260	c7fd065355ef1a496ef1da4185e851e7809e9e54463164f255b1330e99cd16b3
2CH	4	253920	2032682	f990384ea0cb3f62cb33d5516cb9207125b573a0a1d005e3f3cb24cbdde71236
2CH	5	196992	1577316	942aa875010b5d0550a91772af3d40688f89049bfdb4c5eba75d2ca8af2886cb
2CH	6	587496	4701351	e596c4156b79779f103ebc0700aa3eadfc830e34e9f1473818f84d2cbd62e318
2CH	7	313512	2509365	9f30b43f55eb36dd7cf106ca72762050db4e35ce22050764fadbe980934b0bdf
2CH	8	224136	1794445	41adf18fc7ec3b331dd7f89040aa61c4b389db6f6c854d8f68ae46c74da3c94e
2CH	9	399264	3195445	c6f89edd98de20d2d00eff76481d00f3924014dc3d755ad4a5153f664cc72def
2CH	10	241872	1936346	b94686d0c8dbb644f62324b2c8236ec5d14f9990e6198652697d670a01bfa4fc
2CH	11	241296	1931748	1a8e862734c795a65d8aace0ce6ded686bfef5f8d4fe536df94d73a679e8229d
2CH	12	216504	1733426	5175aed31fb05e6f3357c042a0c34d33984363730e605cbff68c55ec015c9f60
2CH	13	288600	2310001	483fb3b95e1c54500cd2f3fe6f62afe682108bfea3adda308e081b74a3158916
2CH	14	200544	1605740	111d72a906a130afba101e4d5e45b62350310ab5098690664d56426284b5e41c
2CH	15	211056	1689750	1f0391e0c81ba3ac040e240739778dc47de768967d0579a82f8e15301b9c3c1a
2CH	16	196704	1575020	7bc495ddd943fb64b536c4e98f09c65df3f1fe5e14c70bed70dc01c3571df742
2CH	17	205848	1648163	e83984cbbbfb8ddf038043283523bb8cb86e787ea7eb4e6e30c57f1b618eca4d
2CH	18	428688	3430759	93a2767fbb88840a051ebb0021a8bf2af5804ebf6f344d243cdf8b067d41a93e
2CH	19	177168	1418703	dfe834e73bd42dc6eba489ecbf7d0e89f37c026a9e36f2ab46ac3d3517f5b643
2CH	20	486360	3892186	f7efe1104aa83fafd98b142350cb5f3678af9ea6398638d58f3806ae431ebab4
2CH	21	253368	2028297	098b2268a523a4ef2215e152ba3775010a202d62d19d38f69da37d25759c0509
2CH	22	204312	1635833	d5ebcf7549d81edd1ed5a23051513c0b15f35311746915416de7fdf22de4ef42
2CH	23	310872	2488261	fa3cca650dfc679c5ded376e1c69c9a3d1b94aed6f50492262aea0aeeb34acfd
2CH	24	378312	3027846	7df8f169c15595d1b1480d3679099f4e92aede5cc86fb0e7d62cf43d5e4b60b1
2CH	25	381024	3049580	c6fafa9540e4b8f7dd7c8936e4ea9ad0ace3e73c99a37ba890bee5ca2b1f3b65
2CH	26	301488	2413237	7030aef932cd0f12f3ec7629e19cda88a9e5cd114f9d61f0aa585ed8d2597f64
2CH	27	99432	796780	537a7a933fd722066ea8bbc6cb18f4c151fe0a862d2cc2f2426887b1b73a64de
2CH	28	380088	3042057	64635dfbb5d7344eda2c4d02d7c1f236d97ce2af0fcf9e6dcbff9390f35e3171
