book	chapter	ms	bytes	sha256
GEN	50	331008	2648990	f48bdf9e3bb0aeb5412ac78e990cb1ec3986f7c775531f52952c35e4a4f197a8
EXO	1	191376	1531997	708ac5ad07886f05a8c01f706759ec72b24e1af6f32e5d7f91cb9f43a53d42db
EXO	2	254184	2034384	5e05bd5c7461fe74d7971df87a0cb5f16d3f0d68885918ea447f9adbe24e501d
EXO	3	284760	2278890	e253072a4aabf43d80b753c817858ad540a51caf4e04074ba11f3ede16496ee5
EXO	4	326856	2615765	329d1dbafd45cb8ba158332e0076e438098a42aa18aabd461142492e6c13663d
EXO	5	240168	1922162	7071d588b265d7f4791dd7738c1797db3152b4bc463de52c4577b9d985aaef50
EXO	6	296520	2373140	69dfc334c4589ebfbec880f5375d2b149b27fcdfc0e4c3c7e08928562b81f777
EXO	7	267240	2138874	bfb4511c835b362613933749ed4ba2d7b1f1ca8996e0c64e180c8d6251da910f
EXO	8	368376	2947834	180f660a5881b66bb529495cbd669ea951cbeedccbdfab77455f393f76b17a5a
EXO	9	368112	2945744	2a177cf3b0bc92889b6d83980bc5008efa7a7d09e0b5c8eac2948394e93d67a9
EXO	10	340752	2726945	3ae021d9d1fb9d4b018fd377b4fca45ed655480bfaa496ab2ad662d8da22cdbd
EXO	11	125712	1006625	f050798d16f33c5efcbe623d35a60fbfb657b9aaf6ee23a7eca08d434d950478
EXO	12	514848	4119794	aa95835fc6c5d05badfd59dd2f4a3e6c84f16d6d9f9b57887ec76d63d413ce31
EXO	13	243720	1950586	f97e073d5c16fcbcfa006b12b6577c1a52714822ccac3e538eaea2e9cef37d24
EXO	14	342768	2743037	544e0a2a645cce2027186cb4aa1cb3434d448b8b6e19e55170bda47b42c88118
EXO	15	284520	2277012	bd65969ba41b8ed78e86c145f73c244fd04b08899259f0b439fc174602e4c9f2
EXO	16	387624	3101855	456c0a3674819e2bc64215858452125b249897aa44a0786d7e44f60f63fc7ac5
EXO	17	194640	1558122	4594204220f322949c5e46055176326800a709ac169effba1ffa9a5d508958f5
