book	chapter	ms	bytes	sha256
EXO	7	226800	1815217	87cbe2bcd0a427d414136d1195115500835f619ad2a9c8c6b3fffbdf2e78160b
EXO	8	325320	2603279	dd91535674b59d6068538846884b6afe694d2d95b41ab4ee0325ba9a24eb72a8
EXO	9	331032	2649046	63b53c0d2794625c3470a1ec86cf29c2e311f7b39512ed630736086c00eded6f
EXO	10	309912	2479983	954351ef49a705020469ad417589e4639ebb6f92106c54a463475dc6432fe70d
EXO	11	117624	941685	12ec26f91e919cd3f3bc3e7eff75336dad541803af3f4200f1e1baf8f998e312
EXO	12	484968	3880565	095454bddd26c1d8fdbf5725ac79159af24fd5a1be8e9cd86bd63a124e913c80
EXO	13	225120	1801636	bf6be92fec074c7cc043766778b073e7e56f75161163893f1c9cfc7fb2515237
EXO	14	310176	2482073	ff302eb9f91c7ddf636e21bd15970bc4b08b613573a4f449e511b54ccd8048e0
EXO	15	260112	2081668	c4180c6eb79c4a12f57e434cac7232d17ad82203c9f2f4e66a9a879375a0431b
EXO	16	341880	2735774	6feca793f724817f3cd3101eb83e9ed9a03b3f6e156e177b8b48b9e72b5cb319
EXO	17	164688	1318266	12b31e1c81c2f0705d8b5b78706e8c856b95635f3bb2f2cae177ea18e69c156c
EXO	18	250248	2002674	49a951d485e90351e523b7b9160ac66cbe3f87d6792cc71c92521440573075be
EXO	19	246120	1969655	219c9d15e530d172bc83c5d2a95cb56586a774a803adcc7444cb0540a05f2e5d
EXO	20	210288	1683144	7ae59f307345eb4622594842489bc7ab98e3fd76ef65bf0fc6a7e5db21774bf4
EXO	21	310488	2484581	fae91f87021cca51b56a55887490ba8170fc4caf27a610bd57ac0ef59e4bcc2c
EXO	22	281184	2250315	3e1c5d9dbda32a8e579c9d8ec6aefb64a6c265c1cbf878e5c3f2c97034db512d
EXO	23	301512	2412901	7ac99f1c4f392036938f947bc0e2231e66ee4db5504b2c39681962b9119ad4c4
EXO	24	176232	1410635	a4c164beef74eb40f382dc833f473d918a275ebae8fbdc5ed9d898a2a044e99a
EXO	25	283080	2265361	31abc2e9efe79ed25ad98905b4f7432877cda6c855d3fd40c86de9a397458cdf
EXO	26	277800	2223147	40ac1c223b6bd0aef6ab72c86fca6b0829c547937055da377e2517759449fa62
EXO	27	193512	1548770	4b009d2fa0af7da20a229a181ad5c2170f8ce54aea2b5ad7918ac34406943b7e
EXO	28	388488	3108594	d316de365fc675a6d10112ce7584caac6d25c3d5696af3f4b0caf2df0c06c441
EXO	29	423504	3388836	72e57387f9707f28380c8d6462418a4b094d267018f05e7e4f560708e972f87e
EXO	30	301512	2412901	f03c0fad13e12bfd4d0173de613611613c70114a3108613d8ab320b632b2553a
EXO	31	157344	1259543	c07b3d81e2999792b541677d5f10af68af3fa2792129b68d2f8bdb7a14ef3e6d
EXO	32	359880	2879761	16590bf379be7da1a885420946aaa01bd7c6b75992fc2fd231e680d613130272
EXO	33	242808	1943115	0d446d721719a688918ea71debc2d8dc50494bfbf2bd075b66c00990270458ef
EXO	34	373200	2986341	7fff9b81f3dcc5504b6ac1e6ffa72734205b58294f58dc9a4b2278f8739d2211
EXO	35	280872	2247807	33261b415361847e64f683bcb909c6d761fb79dee5d703bcd49f50f6c89b57c8
EXO	36	297648	2381972	59c3e0348e5fe6726e0cc1621ca9c9295111f4f86b4d33c3ac3fe448e24907a0
EXO	37	214872	1719716	8e22dac68f65b2725307e0dfa76532849c7ab3e3e71b64c49c0f10ceacd048d2
EXO	38	282576	2261391	2c0b89d813812c4997d568eeb5cafe7509e6bf77c8fc7e1c6011dbe4c04e5636
EXO	39	347328	2779451	893e3b5de22c47d73e8091304f357d4954dfabc4862f6e23b107bc8430bad4f4
EXO	40	268608	2149587	c94f603cf5dd2763ea3e1e119a70d9aae56b8bb799778259a33a7d10e5a322be
LEV	1	169440	1356301	069b4ced912b6ca37d831c7bffbce36a17bf3cfe032bf802643e0dcd40035ee6
LEV	2	158256	1266858	d4c429c83ac818ccf4034ac3566acd236149b1b8ad8f953e84c1339976ad1d70
LEV	3	156696	1254319	199769c884446bd1878fb046ce4a2567daa8f6976d3e07c88e3ad68147e9780a
LEV	4	335304	2683113	5aba381de2f032ac4ffaf2bacc6fbcdd2e0692859d8709146126f3d7e761d34f
LEV	5	224928	1800174	5e44d8ec47b9329c08a28b11ded37f0612ad4d9146609d83565d41cf735d290e
LEV	6	282192	2258257	b29546a00d4f707337ac45e3904bbac442f9004d7dfbd59af2c258b4c2e7c0f8
LEV	7	331848	2655527	c5b2a066109abc192a4e85044d9aacd301df08d788cea9c8c39bfdbbd19ce4fb
LEV	8	327504	2620837	a27b871ef2a11d96fcf15ef456752a2cdd0c436aa3e5f5fe9b8172aa0fcdba8e
LEV	9	219216	1754407	a7ebb75f58da5bfb4dbcf6da954324b9254c5ea4651daa0882f0fe3a1a8159cf
LEV	10	234888	1879797	4dc1463841ebd9f63964d5c0947db08e3479e22d5b3059138b29f37d70019ee6
LEV	11	370656	2966073	d27ffcce9dc8e20bc060b3c780e80318fa434561e89b8ceefb71f7cb26d3675a
LEV	12	95136	761756	62abda15b37ee47a3c54bec03be3e788d56757c32a63e4e68025a8d531953ab5
LEV	13	549192	4394239	f9887cbd6345d5ebd78f1c8429324fa9266b5e071887d5edda10f6f2878b34ba
LEV	14	508824	4071366	4167824bddb2115d3f578a82398254edb3e5c6a5cc3c9ac769301a0b2fbfbd1e
LEV	15	309864	2479568	ed3273111df16e1b2b82387817cb3857e999b382c54276df89dc2fa154f36c01
LEV	16	352824	2823340	e14b8a988038ce54a3267a6f606e3be2fced4cb45136eedc7d3a51993a145f6a
LEV	17	163872	1311790	1e02f5874ffc613edb8e1304a355f1152dfd3d082af478ac3e2ca6be89a6892a
LEV	18	245904	1967986	5ab34bee735b9e262f37685b40b41cc1b55eaf8af629840b7422419448db6ff1
LEV	19	308904	2472045	713424302b5c33d5c6c9235371c8b326d4d41b88795c39b7095572e6d500fc08
